net,length_um
_0453_,4.46
_0464_,4.46
_0473_,4.46
_0081_,4.435
_0061_,4.425
_0335_,4.42
_0415_,4.42
_0427_,4.42
_0077_,4.385
_0275_,4.36
_0351_,4.36
_0250_,4.34
_0433_,4.34
net63,4.34
net83,4.34
data_in[2],4.27
_0157_,4.265
_0153_,4.26
_0031_,4.24
_0071_,4.24
net71,4.24
net140,4.24
_0020_,4.22
_0222_,4.22
net50,4.2
net54,4.12
net103,4.12
_0368_,4.08
_0345_,4
_0382_,4
_0411_,4
data_in[0],3.93
_0112_,3.925
_0122_,3.925
_0437_,3.9
_0282_,3.88
_0476_,3.88
fifo\[11\]\[1\],3.88
_0163_,3.805
_0147_,3.78
net33,3.78
net39,3.78
net64,3.78
net105,3.78
_0168_,3.76
net133,3.74
net142,3.74
_0039_,3.705
_0041_,3.705
_0044_,3.705
_0106_,3.705
net143,3.68
net154,3.68
_0017_,3.61
_0000_,3.54
_0289_,3.54
fifo\[9\]\[7\],3.54
_0082_,3.465
_0146_,3.465
_0051_,3.44
_0354_,3.44
_0465_,3.44
_0482_,3.44
_0262_,3.42
_0310_,3.42
_0357_,3.42
_0391_,3.42
net40,3.32
net46,3.32
net62,3.32
net69,3.32
net162,3.32
net60,3.3
_0117_,3.245
_0137_,3.245
_0035_,3.22
net115,3.22
net138,3.22
net148,3.22
net159,3.22
_0043_,3.175
_0075_,3.175
_0139_,3.175
_0067_,3.165
_0116_,3.125
_0236_,3.1
_0277_,3.08
_0364_,3.08
_0423_,3.08
_0487_,3.08
_0063_,3.045
_0072_,3.005
_0339_,2.98
_0350_,2.98
_0254_,2.96
_0308_,2.96
_0344_,2.96
_0416_,2.96
net139,2.96
_0164_,2.945
_0087_,2.885
_0103_,2.885
_0125_,2.88
_0144_,2.86
_0204_,2.86
net29,2.86
net93,2.86
net78,2.84
_0098_,2.785
_0099_,2.785
_0100_,2.785
_0118_,2.785
net77,2.76
net81,2.76
net107,2.76
net117,2.76
net122,2.76
net130,2.76
_0093_,2.715
_0140_,2.715
_0156_,2.715
_0009_,2.69
_0295_,2.64
net82,2.64
_0024_,2.62
_0177_,2.62
_0260_,2.62
_0398_,2.62
_0400_,2.62
_0046_,2.595
_0085_,2.595
_0090_,2.595
_0107_,2.595
_0119_,2.595
_0047_,2.585
_0095_,2.545
_0105_,2.545
_0109_,2.545
_0113_,2.545
_0128_,2.545
_0197_,2.52
_0406_,2.52
_0425_,2.52
_0431_,2.52
net67,2.5
_0040_,2.485
_0080_,2.485
_0102_,2.485
_0115_,2.485
_0121_,2.485
_0131_,2.485
_0158_,2.425
_0065_,2.42
_0088_,2.42
_0129_,2.42
_0152_,2.42
net68,2.4
net90,2.4
net120,2.4
_0011_,2.38
_0012_,2.38
_0045_,2.325
_0076_,2.325
_0127_,2.325
_0167_,2.3
_0247_,2.3
net30,2.3
net35,2.3
net36,2.3
net38,2.3
net41,2.3
net49,2.3
net52,2.3
net55,2.3
net58,2.3
net59,2.3
net74,2.3
net75,2.3
net76,2.3
net84,2.3
net86,2.3
net91,2.3
net95,2.3
net101,2.3
net109,2.3
net110,2.3
net111,2.3
net112,2.3
net113,2.3
net114,2.3
net116,2.3
net125,2.3
net126,2.3
net127,2.3
net128,2.3
net131,2.3
net132,2.3
net135,2.3
net141,2.3
net145,2.3
net146,2.3
net147,2.3
net149,2.3
net152,2.3
_0023_,2.28
_0159_,2.26
_0053_,2.255
_0101_,2.255
_0005_,2.23
_0021_,2.18
_0026_,2.18
_0028_,2.16
_0162_,2.125
_0066_,2.085
_0238_,2.06
_0306_,2.06
_0015_,2.04
_0174_,2.04
_0182_,2.04
_0234_,2.04
_0286_,2.04
_0311_,2.04
_0488_,2.04
net89,2.04
net99,2.04
_0038_,2.025
_0054_,2.025
_0062_,2.025
_0074_,2.025
_0079_,2.025
_0086_,2.025
_0089_,2.025
_0104_,2.025
_0136_,2.025
_0143_,2.025
_0149_,2.025
_0154_,2.025
_0169_,1.94
net34,1.94
net47,1.94
net92,1.94
net106,1.94
net118,1.94
net123,1.94
net124,1.94
net144,1.94
net150,1.94
_0150_,1.915
_0068_,1.865
_0096_,1.865
_0141_,1.865
_0151_,1.865
_0160_,1.865
_0218_,1.84
_0272_,1.84
net156,1.84
_0002_,1.82
_0018_,1.82
_0033_,1.82
_0319_,1.82
_0003_,1.75
_0226_,1.6
_0333_,1.6
_0363_,1.6
_0375_,1.6
_0441_,1.6
_0094_,1.575
_0138_,1.575
net37,1.48
net119,1.48
net137,1.48
_0004_,1.36
_0007_,1.36
_0008_,1.36
_0274_,1.14
_0365_,1.14
_0376_,1.14
_0432_,1.14
_0435_,1.14
_0481_,1.14
_0486_,1.14
_0228_,1.02
net43,1.02
